Store,Dept,Date,Weekly_Sales,IsHoliday_x,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday_y,Type,Size
1,1,2010-02-05,24924.5,False,42.31,2.572,,,,,,211.0963582,8.106,False,A,151315
1,1,2010-02-12,46039.49,True,38.51,2.548,,,,,,211.2421698,8.106,True,A,151315
1,1,2010-02-19,41595.55,False,39.93,2.514,,,,,,211.2891429,8.106,False,A,151315
1,1,2010-02-26,19403.54,False,46.63,2.561,,,,,,211.3196429,8.106,False,A,151315
1,1,2010-03-05,21827.9,False,46.5,2.625,,,,,,211.3501429,8.106,False,A,151315
1,1,2010-03-12,21043.39,False,57.79,2.667,,,,,,211.3806429,8.106,False,A,151315
1,1,2010-03-19,22136.64,False,54.58,2.72,,,,,,211.215635,8.106,False,A,151315
1,1,2010-03-26,26229.21,False,51.45,2.732,,,,,,211.0180424,8.106,False,A,151315
1,1,2010-04-02,57258.43,False,62.27,2.719,,,,,,210.8204499,7.808,False,A,151315
1,1,2010-04-09,42960.91,False,65.86,2.77,,,,,,210.6228574,7.808,False,A,151315
1,1,2010-04-16,17596.96,False,66.32,2.808,,,,,,210.4887,7.808,False,A,151315
1,1,2010-04-23,16145.35,False,64.84,2.795,,,,,,210.4391228,7.808,False,A,151315
1,1,2010-04-30,16555.11,False,67.41,2.78,,,,,,210.3895456,7.808,False,A,151315
1,1,2010-05-07,17413.94,False,72.55,2.835,,,,,,210.3399684,7.808,False,A,151315
1,1,2010-05-14,18926.74,False,74.78,2.854,,,,,,210.3374261,7.808,False,A,151315
1,1,2010-05-21,14773.04,False,76.44,2.826,,,,,,210.6170934,7.808,False,A,151315
1,1,2010-05-28,15580.43,False,80.44,2.759,,,,,,210.8967606,7.808,False,A,151315
1,1,2010-06-04,17558.09,False,80.69,2.705,,,,,,211.1764278,7.808,False,A,151315
1,1,2010-06-11,16637.62,False,80.43,2.668,,,,,,211.4560951,7.808,False,A,151315
1,1,2010-06-18,16216.27,False,84.11,2.637,,,,,,211.4537719,7.808,False,A,151315
1,1,2010-06-25,16328.72,False,84.34,2.653,,,,,,211.3386526,7.808,False,A,151315
1,1,2010-07-02,16333.14,False,80.91,2.669,,,,,,211.2235333,7.787,False,A,151315
1,1,2010-07-09,17688.76,False,80.48,2.642,,,,,,211.108414,7.787,False,A,151315
1,1,2010-07-16,17150.84,False,83.15,2.623,,,,,,211.1003854,7.787,False,A,151315
1,1,2010-07-23,15360.45,False,83.36,2.608,,,,,,211.2351443,7.787,False,A,151315
1,1,2010-07-30,15381.82,False,81.84,2.64,,,,,,211.3699032,7.787,False,A,151315
1,1,2010-08-06,17508.41,False,87.16,2.627,,,,,,211.5046621,7.787,False,A,151315
1,1,2010-08-13,15536.4,False,87.0,2.692,,,,,,211.6394211,7.787,False,A,151315
1,1,2010-08-20,15740.13,False,86.65,2.664,,,,,,211.6033633,7.787,False,A,151315
1,1,2010-08-27,15793.87,False,85.22,2.619,,,,,,211.5673056,7.787,False,A,151315
1,1,2010-09-03,16241.78,False,81.21,2.577,,,,,,211.5312479,7.787,False,A,151315
1,1,2010-09-10,18194.74,True,78.69,2.565,,,,,,211.4951902,7.787,True,A,151315
1,1,2010-09-17,19354.23,False,82.11,2.582,,,,,,211.5224596,7.787,False,A,151315
1,1,2010-09-24,18122.52,False,80.94,2.624,,,,,,211.5972246,7.787,False,A,151315
1,1,2010-10-01,20094.19,False,71.89,2.603,,,,,,211.6719895,7.838,False,A,151315
1,1,2010-10-08,23388.03,False,63.93,2.633,,,,,,211.7467544,7.838,False,A,151315
1,1,2010-10-15,26978.34,False,67.18,2.72,,,,,,211.8137436,7.838,False,A,151315
1,1,2010-10-22,25543.04,False,69.86,2.725,,,,,,211.8612937,7.838,False,A,151315
1,1,2010-10-29,38640.93,False,69.64,2.716,,,,,,211.9088438,7.838,False,A,151315
1,1,2010-11-05,34238.88,False,58.74,2.689,,,,,,211.9563939,7.838,False,A,151315
1,1,2010-11-12,19549.39,False,59.61,2.728,,,,,,212.003944,7.838,False,A,151315
1,1,2010-11-19,19552.84,False,51.41,2.771,,,,,,211.8896737,7.838,False,A,151315
1,1,2010-11-26,18820.29,True,64.52,2.735,,,,,,211.7484333,7.838,True,A,151315
1,1,2010-12-03,22517.56,False,49.27,2.708,,,,,,211.607193,7.838,False,A,151315
1,1,2010-12-10,31497.65,False,46.33,2.843,,,,,,211.4659526,7.838,False,A,151315
1,1,2010-12-17,44912.86,False,49.84,2.869,,,,,,211.4053124,7.838,False,A,151315
1,1,2010-12-24,55931.23,False,52.33,2.886,,,,,,211.4051222,7.838,False,A,151315
1,1,2010-12-31,19124.58,True,48.43,2.943,,,,,,211.4049321,7.838,True,A,151315
1,1,2011-01-07,15984.24,False,48.27,2.976,,,,,,211.4047419,7.742,False,A,151315
1,1,2011-01-14,17359.7,False,35.4,2.983,,,,,,211.4574109,7.742,False,A,151315
1,1,2011-01-21,17341.47,False,44.04,3.016,,,,,,211.8272343,7.742,False,A,151315
1,1,2011-01-28,18461.18,False,43.83,3.01,,,,,,212.1970577,7.742,False,A,151315
1,1,2011-02-04,21665.76,False,42.27,2.989,,,,,,212.5668812,7.742,False,A,151315
1,1,2011-02-11,37887.17,True,36.39,3.022,,,,,,212.9367046,7.742,True,A,151315
1,1,2011-02-18,46845.87,False,57.36,3.045,,,,,,213.2478853,7.742,False,A,151315
1,1,2011-02-25,19363.83,False,62.9,3.065,,,,,,213.535609,7.742,False,A,151315
1,1,2011-03-04,20327.61,False,59.58,3.288,,,,,,213.8233327,7.742,False,A,151315
1,1,2011-03-11,21280.4,False,53.56,3.459,,,,,,214.1110564,7.742,False,A,151315
1,1,2011-03-18,20334.23,False,62.76,3.488,,,,,,214.3627114,7.742,False,A,151315
1,1,2011-03-25,20881.1,False,69.97,3.473,,,,,,214.5999389,7.742,False,A,151315
1,1,2011-04-01,20398.09,False,59.17,3.524,,,,,,214.8371664,7.682,False,A,151315
1,1,2011-04-08,23873.79,False,67.84,3.622,,,,,,215.0743939,7.682,False,A,151315
1,1,2011-04-15,28762.37,False,71.27,3.743,,,,,,215.2918561,7.682,False,A,151315
1,1,2011-04-22,50510.31,False,72.99,3.807,,,,,,215.4599053,7.682,False,A,151315
1,1,2011-04-29,41512.39,False,72.03,3.81,,,,,,215.6279544,7.682,False,A,151315
1,1,2011-05-06,20138.19,False,64.61,3.906,,,,,,215.7960035,7.682,False,A,151315
1,1,2011-05-13,17235.15,False,75.64,3.899,,,,,,215.9640526,7.682,False,A,151315
1,1,2011-05-20,15136.78,False,67.63,3.907,,,,,,215.7339202,7.682,False,A,151315
1,1,2011-05-27,15741.6,False,77.72,3.786,,,,,,215.5037878,7.682,False,A,151315
1,1,2011-06-03,16434.15,False,83.0,3.699,,,,,,215.2736553,7.682,False,A,151315
1,1,2011-06-10,15883.52,False,83.13,3.648,,,,,,215.0435229,7.682,False,A,151315
1,1,2011-06-17,14978.09,False,86.41,3.637,,,,,,214.9980596,7.682,False,A,151315
1,1,2011-06-24,15682.81,False,83.58,3.594,,,,,,215.0910982,7.682,False,A,151315
1,1,2011-07-01,15363.5,False,85.55,3.524,,,,,,215.1841368,7.962,False,A,151315
1,1,2011-07-08,16148.87,False,85.83,3.48,,,,,,215.2771754,7.962,False,A,151315
1,1,2011-07-15,15654.85,False,88.54,3.575,,,,,,215.3611087,7.962,False,A,151315
1,1,2011-07-22,15766.6,False,85.77,3.651,,,,,,215.4222784,7.962,False,A,151315
1,1,2011-07-29,15922.41,False,86.83,3.682,,,,,,215.4834482,7.962,False,A,151315
1,1,2011-08-05,15295.55,False,91.65,3.684,,,,,,215.544618,7.962,False,A,151315
1,1,2011-08-12,14539.79,False,90.76,3.638,,,,,,215.6057878,7.962,False,A,151315
1,1,2011-08-19,14689.24,False,89.94,3.554,,,,,,215.6693107,7.962,False,A,151315
1,1,2011-08-26,14537.37,False,87.96,3.523,,,,,,215.7332258,7.962,False,A,151315
1,1,2011-09-02,15277.27,False,87.83,3.533,,,,,,215.7971409,7.962,False,A,151315
1,1,2011-09-09,17746.68,True,76.0,3.546,,,,,,215.861056,7.962,True,A,151315
1,1,2011-09-16,18535.48,False,79.94,3.526,,,,,,216.0410526,7.962,False,A,151315
1,1,2011-09-23,17859.3,False,75.8,3.467,,,,,,216.3758246,7.962,False,A,151315
1,1,2011-09-30,18337.68,False,79.69,3.355,,,,,,216.7105965,7.962,False,A,151315
1,1,2011-10-07,20797.58,False,69.31,3.285,,,,,,217.0453684,7.866,False,A,151315
1,1,2011-10-14,23077.55,False,71.74,3.274,,,,,,217.3552733,7.866,False,A,151315
